productName,productGroup,gtin,manufacturerName,manufacturerCountry,batchId,fibreComposition,countryOfOrigin,careInstructions,chemicalComplianceStandard
Glamor V-Neck White XS,textile,38012346010165,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck White S,textile,38012346010172,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck White M,textile,38012346010189,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck White L,textile,38012346010196,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck White XL,textile,38012346010202,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck Grey XS,textile,38012346010219,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck Grey S,textile,38012346010226,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck Grey M,textile,38012346010233,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck Grey L,textile,38012346010240,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor V-Neck Grey XL,textile,38012346010257,Glamor Clothing,DE,BATCH-BULK-002,"[{""fibre"":""cotton"",""pct"":95.0},{""fibre"":""elastane"",""pct"":5.0}]",DE,Machine wash 30°C.,OEKO-TEX Standard 100
Glamor Polo Blue XS,textile,38012346010264,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Blue S,textile,38012346010271,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Blue M,textile,38012346010288,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Blue L,textile,38012346010295,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Blue XL,textile,38012346010301,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Red XS,textile,38012346010318,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Red S,textile,38012346010325,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Red M,textile,38012346010332,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Red L,textile,38012346010349,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Polo Red XL,textile,38012346010356,Glamor Clothing,DE,BATCH-BULK-003,"[{""fibre"":""cotton"",""pct"":92.0},{""fibre"":""elastane"",""pct"":8.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Dress Floral XS,textile,38012346010363,Glamor Clothing,DE,BATCH-BULK-004,"[{""fibre"":""viscose"",""pct"":100.0}]",DE,Hand wash 30°C. Do not bleach.,REACH Compliant
Glamor Dress Floral S,textile,38012346010370,Glamor Clothing,DE,BATCH-BULK-004,"[{""fibre"":""viscose"",""pct"":100.0}]",DE,Hand wash 30°C. Do not bleach.,REACH Compliant
Glamor Dress Floral M,textile,38012346010387,Glamor Clothing,DE,BATCH-BULK-004,"[{""fibre"":""viscose"",""pct"":100.0}]",DE,Hand wash 30°C. Do not bleach.,REACH Compliant
Glamor Dress Floral L,textile,38012346010394,Glamor Clothing,DE,BATCH-BULK-004,"[{""fibre"":""viscose"",""pct"":100.0}]",DE,Hand wash 30°C. Do not bleach.,REACH Compliant
Glamor Dress Floral XL,textile,38012346010400,Glamor Clothing,DE,BATCH-BULK-004,"[{""fibre"":""viscose"",""pct"":100.0}]",DE,Hand wash 30°C. Do not bleach.,REACH Compliant
Glamor Linen Shirt White S,textile,38012346010417,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Linen Shirt White M,textile,38012346010424,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Linen Shirt White L,textile,38012346010431,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Linen Shirt White XL,textile,38012346010448,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Linen Shirt Blue S,textile,38012346010455,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Linen Shirt Blue M,textile,38012346010462,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Linen Shirt Blue L,textile,38012346010479,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Linen Shirt Blue XL,textile,38012346010486,Glamor Clothing,DE,BATCH-BULK-005,"[{""fibre"":""linen"",""pct"":100.0}]",DE,Hand wash cold. Iron damp.,EU REACH Annex XVII
Glamor Joggers Black XS,textile,38012346010493,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Black S,textile,38012346010509,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Black M,textile,38012346010516,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Black L,textile,38012346010523,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Black XL,textile,38012346010530,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Grey XS,textile,38012346010547,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Grey S,textile,38012346010554,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Grey M,textile,38012346010561,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Grey L,textile,38012346010578,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Joggers Grey XL,textile,38012346010585,Glamor Clothing,DE,BATCH-BULK-006,"[{""fibre"":""cotton"",""pct"":70.0},{""fibre"":""polyester"",""pct"":30.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Windbreaker Black S,textile,38012346010592,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Windbreaker Black M,textile,38012346010608,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Windbreaker Black L,textile,38012346010615,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Windbreaker Black XL,textile,38012346010622,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Windbreaker Navy S,textile,38012346010639,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Windbreaker Navy M,textile,38012346010646,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Windbreaker Navy L,textile,38012346010653,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Windbreaker Navy XL,textile,38012346010660,Glamor Clothing,DE,BATCH-BULK-007,"[{""fibre"":""polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Do not iron.,OEKO-TEX Standard 100
Glamor Hoodie Zip Grey S,textile,38012346010677,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Hoodie Zip Grey M,textile,38012346010684,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Hoodie Zip Grey L,textile,38012346010691,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Hoodie Zip Grey XL,textile,38012346010707,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Hoodie Pullover Navy S,textile,38012346010714,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Hoodie Pullover Navy M,textile,38012346010721,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Hoodie Pullover Navy L,textile,38012346010738,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Hoodie Pullover Navy XL,textile,38012346010745,Glamor Clothing,DE,BATCH-BULK-008,"[{""fibre"":""cotton"",""pct"":80.0},{""fibre"":""polyester"",""pct"":20.0}]",DE,Machine wash 40°C. Tumble dry low.,OEKO-TEX Standard 100
Glamor Silk Scarf Red,textile,38012346010752,Glamor Clothing,DE,BATCH-BULK-009,"[{""fibre"":""silk"",""pct"":100.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Silk Scarf Blue,textile,38012346010769,Glamor Clothing,DE,BATCH-BULK-009,"[{""fibre"":""silk"",""pct"":100.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Silk Scarf Green,textile,38012346010776,Glamor Clothing,DE,BATCH-BULK-009,"[{""fibre"":""silk"",""pct"":100.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Charcoal S,textile,38012346010783,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Charcoal M,textile,38012346010790,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Charcoal L,textile,38012346010806,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Charcoal XL,textile,38012346010813,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Camel S,textile,38012346010820,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Camel M,textile,38012346010837,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Camel L,textile,38012346010844,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Wool Coat Camel XL,textile,38012346010851,Glamor Clothing,DE,BATCH-BULK-010,"[{""fibre"":""wool"",""pct"":70.0},{""fibre"":""polyester"",""pct"":25.0},{""fibre"":""nylon"",""pct"":5.0}]",DE,Dry clean only.,OEKO-TEX Standard 100
Glamor Denim Jacket Blue S,textile,38012346010868,Glamor Clothing,DE,BATCH-BULK-011,"[{""fibre"":""cotton"",""pct"":99.0},{""fibre"":""elastane"",""pct"":1.0}]",DE,Machine wash 30°C. Wash inside out.,EU REACH Annex XVII
Glamor Denim Jacket Blue M,textile,38012346010875,Glamor Clothing,DE,BATCH-BULK-011,"[{""fibre"":""cotton"",""pct"":99.0},{""fibre"":""elastane"",""pct"":1.0}]",DE,Machine wash 30°C. Wash inside out.,EU REACH Annex XVII
Glamor Denim Jacket Blue L,textile,38012346010882,Glamor Clothing,DE,BATCH-BULK-011,"[{""fibre"":""cotton"",""pct"":99.0},{""fibre"":""elastane"",""pct"":1.0}]",DE,Machine wash 30°C. Wash inside out.,EU REACH Annex XVII
Glamor Denim Jacket Blue XL,textile,38012346010899,Glamor Clothing,DE,BATCH-BULK-011,"[{""fibre"":""cotton"",""pct"":99.0},{""fibre"":""elastane"",""pct"":1.0}]",DE,Machine wash 30°C. Wash inside out.,EU REACH Annex XVII
Glamor Cashmere V-Neck Cream S,textile,38012346010905,Glamor Clothing,DE,BATCH-BULK-012,"[{""fibre"":""cashmere"",""pct"":100.0}]",DE,Hand wash cold. Lay flat to dry.,OEKO-TEX Standard 100
Glamor Cashmere V-Neck Cream M,textile,38012346010912,Glamor Clothing,DE,BATCH-BULK-012,"[{""fibre"":""cashmere"",""pct"":100.0}]",DE,Hand wash cold. Lay flat to dry.,OEKO-TEX Standard 100
Glamor Cashmere V-Neck Cream L,textile,38012346010929,Glamor Clothing,DE,BATCH-BULK-012,"[{""fibre"":""cashmere"",""pct"":100.0}]",DE,Hand wash cold. Lay flat to dry.,OEKO-TEX Standard 100
Glamor Cashmere V-Neck Cream XL,textile,38012346010936,Glamor Clothing,DE,BATCH-BULK-012,"[{""fibre"":""cashmere"",""pct"":100.0}]",DE,Hand wash cold. Lay flat to dry.,OEKO-TEX Standard 100
Glamor Performance Legging Black XS,textile,38012346010943,Glamor Clothing,DE,BATCH-BULK-013,"[{""fibre"":""nylon"",""pct"":78.0},{""fibre"":""elastane"",""pct"":22.0}]",DE,Machine wash 30°C. No softener.,OEKO-TEX Standard 100
Glamor Performance Legging Black S,textile,38012346010950,Glamor Clothing,DE,BATCH-BULK-013,"[{""fibre"":""nylon"",""pct"":78.0},{""fibre"":""elastane"",""pct"":22.0}]",DE,Machine wash 30°C. No softener.,OEKO-TEX Standard 100
Glamor Performance Legging Black M,textile,38012346010967,Glamor Clothing,DE,BATCH-BULK-013,"[{""fibre"":""nylon"",""pct"":78.0},{""fibre"":""elastane"",""pct"":22.0}]",DE,Machine wash 30°C. No softener.,OEKO-TEX Standard 100
Glamor Performance Legging Black L,textile,38012346010974,Glamor Clothing,DE,BATCH-BULK-013,"[{""fibre"":""nylon"",""pct"":78.0},{""fibre"":""elastane"",""pct"":22.0}]",DE,Machine wash 30°C. No softener.,OEKO-TEX Standard 100
Glamor Performance Legging Black XL,textile,38012346010981,Glamor Clothing,DE,BATCH-BULK-013,"[{""fibre"":""nylon"",""pct"":78.0},{""fibre"":""elastane"",""pct"":22.0}]",DE,Machine wash 30°C. No softener.,OEKO-TEX Standard 100
Glamor Organic Tote Natural,textile,38012346010998,Glamor Clothing,DE,BATCH-BULK-014,"[{""fibre"":""organic cotton"",""pct"":100.0}]",DE,Machine wash 30°C. Line dry.,GOTS Certified
Glamor Recycled Fleece Olive XL,textile,38012346011001,Glamor Clothing,DE,BATCH-BULK-015,"[{""fibre"":""recycled polyester"",""pct"":100.0}]",DE,Machine wash 30°C. Hang dry.,GRS Certified
